VariantID,LocationID,Climate
101008,4,arid
101008,8,mild temperate
101008,12,arid
101008,20,temperate
101008,24,semiarid
101008,28,tropical
101008,32,temperate
101008,51,highland
101008,36,arid
101008,40,temperate
101008,31,dry
101008,44,temperate
101008,48,arid
101008,50,tropical
101008,52,tropical
101008,112,cold
101008,56,temperate
101008,84,tropical
101008,204,tropical
101008,64,varies
101008,68,varies
101008,70,hot
101008,72,semiarid
101008,76,tropical
101008,96,tropical
101008,100,temperate
101008,854,tropical
101008,108,equatorial
101008,384,tropical
101008,132,temperate
101008,116,tropical
101008,120,varies
101008,124,cold
101008,140,tropical
101008,148,tropical
101008,152,temperate
101008,156,diverse
101008,170,tropical
101008,174,tropical
101008,178,tropical
101008,188,tropical
101008,191,mediterranean
101008,192,tropical
101008,196,temperate
101008,203,cold
101008,180,tropical
101008,208,temperate
101008,262,dry
101008,212,tropical
101008,214,tropical
101008,218,tropical
101008,818,dry
101008,222,tropical
101008,226,tropical
101008,232,dry
101008,233,maritime
101008,748,tropical
101008,231,tropical
101008,242,tropical
101008,246,cold
101008,250,tropical
101008,266,tropical
101008,270,tropical
101008,268,warm
101008,276,temperate
101008,288,tropical
101008,300,temperate
101008,308,tropical
101008,320,tropical
101008,324,hot
101008,624,tropical
101008,328,tropical
101008,332,tropical
101008,336,temperate
101008,340,subtropical
101008,348,temperate
101008,352,cold
101008,356,varies
101008,360,tropical
101008,364,arid
101008,368,arid
101008,372,temperate
101008,376,temperate
101008,380,mediterranean
101008,388,tropical
101008,392,varies
101008,400,arid
101008,398,continential
101008,404,varies
101008,296,continential
101008,414,hot
101008,417,continential
101008,418,tropical
101008,428,maritime
101008,422,mediterranean
101008,426,temperate
101008,430,tropical
101008,434,mediterranean
101008,438,continential
101008,440,transitional
101008,442,continential
101008,450,tropical
101008,454,subtropical
101008,458,tropical
101008,462,tropical
101008,466,subtropical
101008,470,mediterranean
101008,584,tropical
101008,478,dry
101008,480,tropical
101008,484,varies
101008,583,temperate
101008,498,temperate
101008,492,mediterranean
101008,496,continential
101008,499,mediterranean
101008,504,mediterranean
101008,508,tropical
101008,104,tropical
101008,516,dry
101008,520,tropical
101008,524,varies
101008,528,temperate
101008,554,temperate
101008,558,tropical
101008,562,dry
101008,566,varies
101008,408,temperate
101008,807,warm
101008,580,temperate
101008,512,dry
101008,586,dry
101008,585,tropical
101008,275,dry
101008,591,tropical
101008,598,tropical
101008,600,subtropical
101008,604,varies
101008,608,tropical
101008,616,temperate
101008,620,temperate
101008,634,dry
101008,642,temperate
101008,643,temperate
101008,649,temperate
101008,659,tropical
101008,662,tropical
101008,670,tropical
101008,882,tropical
101008,674,mediterranean
101008,678,tropical
101008,682,dry
101008,686,tropical
101008,688,continential
101008,690,tropical
101008,694,tropical
101008,702,tropical
101008,703,temperate
101008,705,mediterranean
101008,90,tropical
101008,706,semiarid
101008,710,semiarid
101008,410,temperate
101008,728,dry
101008,724,temperate
101008,144,tropical
101008,729,dry
101008,740,tropical
101008,752,temperate
101008,756,temperate
101008,760,dry
101008,762,continential
101008,834,varies
101008,764,tropical
101008,626,tropical
101008,768,tropical
101008,776,tropical
101008,780,tropical
101008,788,temperate
101008,792,temperate
101008,795,tropical
101008,798,tropical
101008,800,tropical
101008,804,temperate
101008,784,hot
101008,826,temperate
101008,840,temperate
101008,858,temperate
101008,860,cold
101008,548,tropical
101008,862,tropical
101008,704,tropical
101008,887,hot
101008,894,tropical
101008,716,tropical
101008,344,subtropical
101009,270,tropical
101009,624,tropical
101009,132,temperate
101009,686,tropical
101009,840,temperate
101009,466,subtropical
101009,694,tropical
101009,356,varies
101009,566,varies
101009,384,tropical
101001,180,tropical
101001,266,tropical
101001,178,tropical
101002,384,tropical
101003,800,tropical
101003,826,temperate
101003,729,dry
101004,840,temperate
101004,826,temperate
101004,458,tropical
101005,840,temperate
101005,826,temperate
101006,840,temperate
101006,76,tropical
101007,840,temperate
101007,826,temperate
101007,458,tropical
101007,356,varies
101007,156,diverse
101007,276,temperate
101010,840,temperate
101010,508,tropical
101010,356,varies
101010,156,diverse
101010,586,dry
101010,50,tropical
101010,140,tropical
101011,840,temperate
101011,508,tropical
101011,356,varies
101011,156,diverse
101011,586,dry
101011,50,tropical
101011,140,tropical
101012,450,tropical
101012,48,tropical
101012,512,dry
101012,414,hot
101012,682,dry
101013,728,dry
101013,702,tropical
101013,788,temperate
101013,686,tropical
101014,840,temperate
101014,826,temperate
101014,458,tropical
101014,356,varies
101014,156,diverse
101014,276,temperate
101014,512,dry
101014,414,hot
101014,682,dry
101014,728,dry
101014,686,tropical
101014,152,temperate
101014,32,temperate
101014,764,tropical
101014,702,tropical
101015,840,temperate
101015,702,tropical
101015,764,tropical
101015,242,tropical
101015,608,tropical
101015,36,arid
101015,458,tropical
101015,756,tropical
101015,344,subtropical
101016,156,diverse
